date,total_confirmed_cases,total_current_confirmed_cases,recovered,new_total_confirmed_cases,deaths,daily_deaths,daily_recovered,death_rate,recovery_rate
2020-02-25,322,311,1,93,10,3,0,0.96%,0%
2020-02-26,400,385,3,78,12,2,2,0.52%,0.52%
2020-02-27,650,588,45,250,17,5,42,0.85%,7.14%
2020-02-28,888,821,46,238,21,4,1,0.49%,0.12%
2020-02-29,1128,1049,50,240,29,8,4,0.76%,0.38%
2020-03-01,1694,1577,83,566,34,5,33,0.32%,2.09%
2020-03-02,2036,1835,149,342,52,18,66,0.98%,3.6%
2020-03-03,2502,2263,160,466,79,27,11,1.19%,0.49%
2020-03-04,3089,2706,276,587,107,28,116,1.03%,4.29%
2020-03-05,3858,3296,414,769,148,41,138,1.24%,4.19%
2020-03-06,4636,3916,523,778,197,49,109,1.25%,2.78%
2020-03-07,5883,5061,589,1247,233,36,66,0.71%,1.3%
2020-03-08,7375,6387,622,1492,366,133,33,2.08%,0.52%
2020-03-09,9172,7985,724,1797,463,97,102,1.21%,1.28%
2020-03-10,10149,8514,1004,977,631,168,280,1.97%,3.29%
2020-03-11,12462,10590,1045,2313,827,196,41,1.85%,0.39%
2020-03-12,15113,12839,1258,2651,1016,189,213,1.47%,1.66%
2020-03-13,17660,14955,1439,2547,1266,250,181,1.67%,1.21%
2020-03-14,21157,17750,1966,3497,1441,175,527,0.99%,2.97%
2020-03-15,24747,20603,2335,3590,1809,368,369,1.79%,1.79%
2020-03-16,27980,23073,2749,3233,2158,349,414,1.51%,1.79%
2020-03-17,31506,26062,2941,3526,2503,345,192,1.32%,0.74%
2020-03-18,35713,28710,4025,4207,2978,475,1084,1.65%,3.78%
2020-03-19,41035,33190,4440,5322,3405,427,415,1.29%,1.25%
2020-03-20,47021,37860,5129,5986,4032,627,689,1.66%,1.82%
2020-03-21,53578,42681,6072,6557,4825,793,943,1.86%,2.21%
2020-03-22,59138,46638,7024,5560,5476,651,952,1.4%,2.04%
2020-03-23,63927,50418,7432,4789,6077,601,408,1.19%,0.81%
2020-03-24,69176,54030,8326,5249,6820,743,894,1.38%,1.65%
2020-03-25,74386,57521,9362,5210,7503,683,1036,1.19%,1.8%
2020-03-26,80539,62013,10361,6153,8165,662,999,1.07%,1.61%
2020-03-27,86498,66414,10950,5959,9134,969,589,1.46%,0.89%
2020-03-28,92472,70065,12384,5974,10023,889,1434,1.27%,2.05%
2020-03-29,97689,73880,13030,5217,10779,756,646,1.02%,0.87%
2020-03-30,101739,75528,14620,4050,11591,812,1590,1.08%,2.11%
2020-03-31,105792,77635,15729,4053,12428,837,1109,1.08%,1.43%
2020-04-01,110574,80572,16847,4782,13155,727,1118,0.9%,1.39%
2020-04-02,115242,83049,18278,4668,13915,760,1431,0.92%,1.72%
2020-04-03,119827,85388,19758,4585,14681,766,1480,0.9%,1.73%
2020-04-04,124632,88274,20996,4805,15362,681,1238,0.77%,1.4%
2020-04-05,128948,91246,21815,4316,15887,525,819,0.58%,0.9%
2020-04-06,132547,93187,22837,3599,16523,636,1022,0.68%,1.1%
2020-04-07,135586,94067,24392,3039,17127,604,1555,0.64%,1.65%
2020-04-08,139422,95262,26491,3836,17669,542,2099,0.57%,2.2%
2020-04-09,143626,96877,28470,4204,18279,610,1979,0.63%,2.04%
2020-04-10,147577,98273,30455,3951,18849,570,1985,0.58%,2.02%
2020-04-11,152271,100269,32534,4694,19468,619,2079,0.62%,2.07%
2020-04-12,156363,102253,34211,4092,19899,431,1677,0.42%,1.64%
2020-04-13,159516,103616,35435,3153,20465,566,1224,0.55%,1.18%
2020-04-14,162488,104291,37130,2972,21067,602,1695,0.58%,1.63%
2020-04-15,165155,105418,38092,2667,21645,578,962,0.55%,0.91%
2020-04-16,168941,106607,40164,3786,22170,525,2072,0.49%,1.94%
2020-04-17,172434,106962,42727,3493,22745,575,2563,0.54%,2.4%
2020-04-18,175925,107771,44927,3491,23227,482,2200,0.45%,2.04%
2020-04-19,178972,108257,47055,3047,23660,433,2128,0.4%,1.97%
2020-04-20,181228,108237,48877,2256,24114,454,1822,0.42%,1.68%
2020-04-21,183957,107709,51600,2729,24648,534,2723,0.5%,2.53%
2020-04-22,187327,107699,54543,3370,25085,437,2943,0.41%,2.73%
2020-04-23,189973,106848,57576,2646,25549,464,3033,0.43%,2.84%
2020-04-24,192994,106527,60498,3021,25969,420,2922,0.39%,2.74%
2020-04-25,195351,105847,63120,2357,26384,415,2622,0.39%,2.48%
2020-04-26,197675,106103,64928,2324,26644,260,1808,0.25%,1.7%
2020-04-27,199414,105813,66624,1739,26977,333,1696,0.31%,1.6%
2020-04-28,201505,105205,68941,2091,27359,382,2317,0.36%,2.2%
2020-04-29,203591,104657,71252,2086,27682,323,2311,0.31%,2.21%
2020-04-30,205463,101551,75945,1872,27967,285,4693,0.28%,4.62%
2020-05-01,207428,100943,78249,1965,28236,269,2304,0.27%,2.28%
